"participant","trial","position","first_display","display","direction","video","outcome","simulation","attn_check","rating","ball_direction","goalie_direction"
"LAMI022",2,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.125,0,"left","left"
"LAMI022",3,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.735,0.96,"right","right"
"LAMI022",4,"ball","down","down","left","LAMI_left_score_down.mp4","score","What if?",0.787,0,"left","right"
"LAMI022",5,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.152,0.959,"left","left"
"LAMI022",6,"ball","down","down","right","LAMI_right_score_down.mp4","score","Cause",0.169,0.961,"right","left"
"LAMI022",7,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.211,0.962,"left","left"
"LAMI022",8,"ball","down","down","right","LAMI_right_score_down.mp4","score","What if?",0.167,0,"right","left"
"LAMI022",9,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.16,0.964,"left","left"
"LAMI022",10,"ball","down","down","right","LAMI_right_score_down.mp4","score","Remember",0.191,0.958,"right","left"
"LAMI022",11,"ball","down","down","right","LAMI_right_score_down.mp4","score","Remember",0.174,0.953,"right","left"
"LAMI022",12,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.743,0,"right","right"
"LAMI022",13,"ball","down","down","left","LAMI_left_score_down.mp4","score","What if?",0.726,0,"left","right"
"LAMI022",14,"ball","down","down","left","LAMI_left_score_down.mp4","score","Cause",0.771,0.961,"left","right"
"LAMI022",15,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.748,0,"right","right"
"LAMI022",16,"ball","down","down","right","LAMI_right_score_down.mp4","score","Remember",0.151,0.959,"right","left"
"LAMI022",17,"ball","down","down","right","LAMI_right_score_down.mp4","score","Remember",0.182,0.964,"right","left"
"LAMI022",18,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.822,0.961,"right","right"
"LAMI022",19,"ball","down","down","left","LAMI_left_score_down.mp4","score","Cause",0.775,0.968,"left","right"
"LAMI022",20,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.178,0,"left","left"
"LAMI022",21,"ball","down","down","left","LAMI_left_score_down.mp4","score","What if?",0.754,0,"left","right"
"LAMI022",22,"ball","down","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.165,0.961,"left","left"
"LAMI022",23,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.742,0.973,"right","right"
"LAMI022",24,"ball","down","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.813,0.961,"right","right"
"LAMI022",25,"ball","down","up","left","LAMI_left_score.mp4","score","What if?",0.8,0,"left","right"
"LAMI022",26,"ball","down","up","left","LAMI_left_miss.mp4","miss","What if?",0.239,0.956,"left","left"
"LAMI022",27,"ball","down","up","left","LAMI_left_miss.mp4","miss","Remember",0.179,0,"left","left"
"LAMI022",28,"ball","down","up","right","LAMI_right_score.mp4","score","Cause",0.167,0.963,"right","left"
"LAMI022",29,"ball","down","up","right","LAMI_right_score.mp4","score","Remember",0.171,0.965,"right","left"
"LAMI022",30,"ball","down","up","right","LAMI_right_miss.mp4","miss","Cause",0.781,0.96,"right","right"
"LAMI022",31,"ball","down","up","right","LAMI_right_miss.mp4","miss","What if?",0.766,0.961,"right","right"
"LAMI022",32,"ball","down","up","right","LAMI_right_miss.mp4","miss","Cause",0.786,0.964,"right","right"
"LAMI022",33,"ball","down","up","left","LAMI_left_score.mp4","score","Cause",0.767,0.956,"left","right"
"LAMI022",34,"ball","down","up","left","LAMI_left_score.mp4","score","What if?",0.71,0,"left","right"
"LAMI022",35,"ball","down","up","right","LAMI_right_miss.mp4","miss","Remember",0.762,0,"right","right"
"LAMI022",36,"ball","down","up","left","LAMI_left_score.mp4","score","Remember",0.764,0.96,"left","right"
"LAMI022",37,"ball","down","up","left","LAMI_left_score.mp4","score","What if?",0.758,0,"left","right"
"LAMI022",38,"ball","down","up","left","LAMI_left_miss.mp4","miss","Cause",0.152,0.953,"left","left"
"LAMI022",39,"ball","down","up","right","LAMI_right_miss.mp4","miss","Remember",0.726,0,"right","right"
"LAMI022",40,"ball","down","up","left","LAMI_left_miss.mp4","miss","Remember",0.144,0,"left","left"
"LAMI022",41,"ball","down","up","left","LAMI_left_score.mp4","score","Remember",0.748,0.965,"left","right"
"LAMI022",42,"ball","down","up","right","LAMI_right_score.mp4","score","Cause",0.176,0.958,"right","left"
"LAMI022",43,"ball","down","up","right","LAMI_right_miss.mp4","miss","Cause",0.776,0.954,"right","right"
"LAMI022",44,"ball","down","up","right","LAMI_right_score.mp4","score","Cause",0.136,0.958,"right","left"
"LAMI022",45,"ball","down","up","right","LAMI_right_miss.mp4","miss","What if?",0.865,0.965,"right","right"
"LAMI022",46,"ball","down","up","left","LAMI_left_miss.mp4","miss","What if?",0.182,0.95,"left","left"
"LAMI022",47,"ball","down","up","right","LAMI_right_score.mp4","score","What if?",0.164,0,"right","left"
"LAMI022",48,"ball","down","up","left","LAMI_left_score.mp4","score","Remember",0.769,0.962,"left","right"
"LAMI023",1,"ball","up","up","left","LAMI_left_score.mp4","score","Cause",0,0.465,"left","right"
"LAMI023",2,"ball","up","up","right","LAMI_right_miss.mp4","miss","What if?",0.788,0.848,"right","right"
"LAMI023",3,"ball","up","up","right","LAMI_right_score.mp4","score","Remember",0.163,0.946,"right","left"
"LAMI023",4,"ball","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.201,0.941,"left","left"
"LAMI023",5,"ball","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.148,0,"left","left"
"LAMI023",6,"ball","up","up","left","LAMI_left_score.mp4","score","What if?",0.739,0.01,"left","right"
"LAMI023",7,"ball","up","up","left","LAMI_left_score.mp4","score","Remember",0.725,0.934,"left","right"
"LAMI023",8,"ball","up","up","left","LAMI_left_score.mp4","score","Cause",0.735,0.933,"left","right"
"LAMI023",9,"ball","up","up","right","LAMI_right_miss.mp4","miss","Remember",0.764,0.00900000000000001,"right","right"
"LAMI023",10,"ball","up","up","left","LAMI_left_score.mp4","score","What if?",0.79,0.104,"left","right"
"LAMI023",11,"ball","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.137,0.881,"left","left"
"LAMI023",12,"ball","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.199,0.841,"left","left"
"LAMI023",13,"ball","up","up","right","LAMI_right_score.mp4","score","Cause",0.189,0.834,"right","left"
"LAMI023",14,"ball","up","up","left","LAMI_left_score.mp4","score","What if?",0.737,0.0649999999999999,"left","right"
"LAMI023",15,"ball","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.131,0.013,"left","left"
"LAMI023",16,"ball","up","up","right","LAMI_right_miss.mp4","miss","Cause",0.768,0.862,"right","right"
"LAMI023",17,"ball","up","up","right","LAMI_right_miss.mp4","miss","What if?",0.775,0.907,"right","right"
"LAMI023",18,"ball","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.158,0.861,"left","left"
"LAMI023",19,"ball","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.187,0.894,"left","left"
"LAMI023",20,"ball","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.173,0.045,"left","left"
"LAMI023",21,"ball","up","up","right","LAMI_right_score.mp4","score","What if?",0.133,0.042,"right","left"
"LAMI023",22,"ball","up","up","left","LAMI_left_score.mp4","score","Cause",0.736,0.792,"left","right"
"LAMI023",23,"ball","up","up","left","LAMI_left_score.mp4","score","Remember",0.797,0.699,"left","right"
"LAMI023",24,"ball","up","up","left","LAMI_left_score.mp4","score","Remember",0.717,0.909,"left","right"
"LAMI023",25,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.156,0.03,"left","left"
"LAMI023",26,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.749,0.017,"right","right"
"LAMI023",27,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.129,0.6,"left","left"
"LAMI023",28,"ball","up","down","right","LAMI_right_score_down.mp4","score","Remember",0.194,0.855,"right","left"
"LAMI023",29,"ball","up","down","left","LAMI_left_score_down.mp4","score","Cause",0.724,0.682,"left","right"
"LAMI023",30,"ball","up","down","left","LAMI_left_score_down.mp4","score","What if?",0.754,0.031,"left","right"
"LAMI023",31,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.172,0.683,"left","left"
"LAMI023",32,"ball","up","down","left","LAMI_left_score_down.mp4","score","What if?",0.76,0.049,"left","right"
"LAMI023",33,"ball","up","down","right","LAMI_right_score_down.mp4","score","Remember",0.144,0.927,"right","left"
"LAMI023",34,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.163,0.845,"left","left"
"LAMI023",35,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.733,0.856,"right","right"
"LAMI023",36,"ball","up","down","left","LAMI_left_score_down.mp4","score","Cause",0.784,0.763,"left","right"
"LAMI023",37,"ball","up","down","left","LAMI_left_score_down.mp4","score","What if?",0.177,0.715,"left","right"
"LAMI023",38,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.193,0.717,"left","left"
"LAMI023",39,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.192,0.705,"left","left"
"LAMI023",40,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.16,0.861,"left","left"
"LAMI023",41,"ball","up","down","right","LAMI_right_score_down.mp4","score","Cause",0.139,0.674,"right","left"
"LAMI023",42,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.179,0.0580000000000001,"left","left"
"LAMI023",43,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.758,0.815,"right","right"
"LAMI023",44,"ball","up","down","left","LAMI_left_score_down.mp4","score","Cause",0.713,0.672,"left","right"
"LAMI023",45,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.207,0.00800000000000001,"left","left"
"LAMI023",46,"ball","up","down","left","LAMI_left_score_down.mp4","score","Remember",0.784,0.812,"left","right"
"LAMI023",47,"ball","up","down","left","LAMI_left_score_down.mp4","score","What if?",0.781,0.039,"left","right"
"LAMI023",48,"ball","up","down","right","LAMI_right_score_down.mp4","score","Remember",0.146,0.861,"right","left"
"LAMI024",1,"ball","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.172,0.825,"left","left"
"LAMI024",2,"ball","up","up","right","LAMI_right_miss.mp4","miss","Remember",0.787,0,"right","right"
"LAMI024",3,"ball","up","up","right","LAMI_right_score.mp4","score","Remember",0.147,0.957,"right","left"
"LAMI024",4,"ball","up","up","right","LAMI_right_miss.mp4","miss","Cause",0.751,0.945,"right","right"
"LAMI024",5,"ball","up","up","left","LAMI_left_score.mp4","score","Remember",0.778,0.96,"left","right"
"LAMI024",6,"ball","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.18,0,"left","left"
"LAMI024",7,"ball","up","up","left","LAMI_left_score.mp4","score","Cause",0.805,0.953,"left","right"
"LAMI024",8,"ball","up","up","right","LAMI_right_score.mp4","score","What if?",0.126,0,"right","left"
"LAMI024",9,"ball","up","up","left","LAMI_left_score.mp4","score","What if?",0.744,0,"left","right"
"LAMI024",10,"ball","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.196,0.959,"left","left"
"LAMI024",11,"ball","up","up","right","LAMI_right_score.mp4","score","Cause",0.129,0.962,"right","left"
"LAMI024",12,"ball","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.225,0.952,"left","left"
"LAMI024",13,"ball","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.13,0.959,"left","left"
"LAMI024",14,"ball","up","up","right","LAMI_right_miss.mp4","miss","What if?",0.797,0.958,"right","right"
"LAMI024",15,"ball","up","up","left","LAMI_left_score.mp4","score","Cause",0.73,0.965,"left","right"
"LAMI024",16,"ball","up","up","right","LAMI_right_score.mp4","score","Cause",0.114,0.958,"right","left"
"LAMI024",17,"ball","up","up","right","LAMI_right_score.mp4","score","Remember",0.137,0.968,"right","left"
"LAMI024",18,"ball","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.138,0,"left","left"
"LAMI024",19,"ball","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.183,0.942,"left","left"
"LAMI024",20,"ball","up","up","right","LAMI_right_score.mp4","score","Remember",0.154,0.971,"right","left"
"LAMI024",21,"ball","up","up","left","LAMI_left_score.mp4","score","What if?",0.718,0,"left","right"
"LAMI024",22,"ball","up","up","right","LAMI_right_miss.mp4","miss","Remember",0.782,0,"right","right"
"LAMI024",23,"ball","up","up","right","LAMI_right_score.mp4","score","What if?",0.115,0,"right","left"
"LAMI024",24,"ball","up","up","right","LAMI_right_miss.mp4","miss","Cause",0.787,0.945,"right","right"
"LAMI024",25,"ball","up","down","left","LAMI_left_score_down.mp4","score","Cause",0.745,0.958,"left","right"
"LAMI024",26,"ball","up","down","right","LAMI_right_score_down.mp4","score","What if?",0.126,0,"right","left"
"LAMI024",27,"ball","up","down","right","LAMI_right_score_down.mp4","score","Remember",0.187,0.963,"right","left"
"LAMI024",28,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.168,0.953,"left","left"
"LAMI024",29,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.713,0.949,"right","right"
"LAMI024",30,"ball","up","down","right","LAMI_right_score_down.mp4","score","Cause",0.147,0.947,"right","left"
"LAMI024",31,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.699,0,"right","right"
"LAMI024",32,"ball","up","down","left","LAMI_left_score_down.mp4","score","Remember",0.165,0.964,"left","right"
"LAMI024",33,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.764,0,"right","right"
"LAMI024",34,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.136,0.964,"left","left"
"LAMI024",35,"ball","up","down","right","LAMI_right_score_down.mp4","score","What if?",0.197,0,"right","left"
"LAMI024",36,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.708,0.968,"right","right"
"LAMI024",37,"ball","up","down","left","LAMI_left_score_down.mp4","score","Remember",0.826,0.967,"left","right"
"LAMI024",38,"ball","up","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.186,0,"left","left"
"LAMI024",39,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.759,0.952,"right","right"
"LAMI024",40,"ball","up","down","right","LAMI_right_score_down.mp4","score","What if?",0.152,0,"right","left"
"LAMI024",41,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.786,0.949,"right","right"
"LAMI024",42,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.694,0.956,"right","right"
"LAMI024",43,"ball","up","down","right","LAMI_right_score_down.mp4","score","Cause",0.167,0.962,"right","left"
"LAMI024",44,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.755,0,"right","right"
"LAMI024",45,"ball","up","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.717,0.954,"right","right"
"LAMI024",46,"ball","up","down","right","LAMI_right_score_down.mp4","score","What if?",0.175,0,"right","left"
"LAMI024",47,"ball","up","down","left","LAMI_left_score_down.mp4","score","Cause",0.809,0.965,"left","right"
"LAMI024",48,"ball","up","down","left","LAMI_left_score_down.mp4","score","Remember",0.811,0.955,"left","right"
"LAMI025",1,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.196,0.461,"left","left"
"LAMI025",2,"goalie","up","up","left","LAMI_right_score.mp4","score","Remember",0.748,0.939,"right","left"
"LAMI025",3,"goalie","up","up","right","LAMI_right_miss.mp4","miss","What if?",0.765,0.954,"right","right"
"LAMI025",4,"goalie","up","up","right","LAMI_right_miss.mp4","miss","What if?",0.738,0.957,"right","right"
"LAMI025",5,"goalie","up","up","left","LAMI_right_score.mp4","score","What if?",0.737,0,"right","left"
"LAMI025",6,"goalie","up","up","right","LAMI_left_score.mp4","score","Cause",0.197,0.941,"left","right"
"LAMI025",7,"goalie","up","up","left","LAMI_right_score.mp4","score","Remember",0.799,0.958,"right","left"
"LAMI025",8,"goalie","up","up","right","LAMI_left_score.mp4","score","What if?",0.212,0,"left","right"
"LAMI025",9,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.217,0.961,"left","left"
"LAMI025",10,"goalie","up","up","right","LAMI_left_score.mp4","score","Cause",0.174,0.953,"left","right"
"LAMI025",11,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.186,0.971,"left","left"
"LAMI025",12,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.137,0,"left","left"
"LAMI025",13,"goalie","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.155,0.965,"left","left"
"LAMI025",14,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.172,0.961,"left","left"
"LAMI025",15,"goalie","up","up","left","LAMI_right_score.mp4","score","Cause",0.79,0.951,"right","left"
"LAMI025",16,"goalie","up","up","right","LAMI_left_score.mp4","score","Remember",0.174,0.961,"left","right"
"LAMI025",17,"goalie","up","up","left","LAMI_right_score.mp4","score","What if?",0.801,0,"right","left"
"LAMI025",18,"goalie","up","up","right","LAMI_right_miss.mp4","miss","What if?",0.712,0.954,"right","right"
"LAMI025",19,"goalie","up","up","right","LAMI_right_miss.mp4","miss","Cause",0.795,0.952,"right","right"
"LAMI025",20,"goalie","up","up","right","LAMI_right_miss.mp4","miss","Remember",0.73,0,"right","right"
"LAMI025",21,"goalie","up","up","left","LAMI_right_score.mp4","score","Remember",0.792,0.992,"right","left"
"LAMI025",22,"goalie","up","up","right","LAMI_left_score.mp4","score","Cause",0.22,0.971,"left","right"
"LAMI025",23,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.199,0,"left","left"
"LAMI025",24,"goalie","up","up","left","LAMI_right_score.mp4","score","What if?",0.749,0,"right","left"
"LAMI025",25,"goalie","up","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.217,0,"left","left"
"LAMI025",26,"goalie","up","down","left","LAMI_left_miss_down.mp4","miss","Cause",0.171,0.953,"left","left"
"LAMI025",27,"goalie","up","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.124,0.966,"left","left"
"LAMI025",28,"goalie","up","down","left","LAMI_left_miss_down.mp4","miss","Remember",0.193,0,"left","left"
"LAMI025",29,"goalie","up","down","right","LAMI_left_score_down.mp4","score","Cause",0.164,0.995,"left","right"
"LAMI025",30,"goalie","up","down","right","LAMI_left_score_down.mp4","score","What if?",0.113,0,"left","right"
"LAMI025",31,"goalie","up","down","left","LAMI_right_score_down.mp4","score","Cause",0.736,1,"right","left"
"LAMI025",32,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.791,0.956,"right","right"
"LAMI025",33,"goalie","up","down","right","LAMI_left_score_down.mp4","score","Remember",0.113,0.972,"left","right"
"LAMI025",34,"goalie","up","down","left","LAMI_right_score_down.mp4","score","What if?",0.761,0,"right","left"
"LAMI025",35,"goalie","up","down","left","LAMI_right_score_down.mp4","score","Remember",0.75,0.978,"right","left"
"LAMI025",36,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.734,0.947,"right","right"
"LAMI025",37,"goalie","up","down","left","LAMI_right_score_down.mp4","score","What if?",0.762,0,"right","left"
"LAMI025",38,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.728,0,"right","right"
"LAMI025",39,"goalie","up","down","right","LAMI_left_score_down.mp4","score","Cause",0.167,0.982,"left","right"
"LAMI025",40,"goalie","up","down","left","LAMI_right_score_down.mp4","score","What if?",0.708,0,"right","left"
"LAMI025",41,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.812,0,"right","right"
"LAMI025",42,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.751,0.997,"right","right"
"LAMI025",43,"goalie","up","down","left","LAMI_right_score_down.mp4","score","Cause",0.742,0.94,"right","left"
"LAMI025",44,"goalie","up","down","right","LAMI_left_score_down.mp4","score","Remember",0.157,0.984,"left","right"
"LAMI025",45,"goalie","up","down","left","LAMI_right_score_down.mp4","score","Remember",0.726,0.97,"right","left"
"LAMI025",46,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.822,0.969,"right","right"
"LAMI025",47,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.818,0.978,"right","right"
"LAMI025",48,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.809,1,"right","right"
"LAMI027",1,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.163,0.35,"left","left"
"LAMI027",2,"goalie","up","up","right","LAMI_right_miss.mp4","miss","Cause",0.748,0.461,"right","right"
"LAMI027",3,"goalie","up","up","right","LAMI_left_score.mp4","score","What if?",0.163,0.356,"left","right"
"LAMI027",4,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.161,0.564,"left","left"
"LAMI027",5,"goalie","up","up","left","LAMI_right_score.mp4","score","Remember",0.792,0.602,"right","left"
"LAMI027",6,"goalie","up","up","right","LAMI_left_score.mp4","score","Cause",0.211,0.605,"left","right"
"LAMI027",7,"goalie","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.154,0.231,"left","left"
"LAMI027",8,"goalie","up","up","right","LAMI_left_score.mp4","score","Cause",0.163,0.625,"left","right"
"LAMI027",9,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.182,0.297,"left","left"
"LAMI027",10,"goalie","up","up","left","LAMI_right_score.mp4","score","What if?",0.764,0.577,"right","left"
"LAMI027",11,"goalie","up","up","right","LAMI_left_score.mp4","score","Remember",0.202,0.667,"left","right"
"LAMI027",12,"goalie","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.204,0.679,"left","left"
"LAMI027",13,"goalie","up","up","left","LAMI_right_score.mp4","score","Cause",0.775,0.622,"right","left"
"LAMI027",14,"goalie","up","up","left","LAMI_right_score.mp4","score","Remember",0.788,0.684,"right","left"
"LAMI027",15,"goalie","up","up","right","LAMI_right_miss.mp4","miss","Remember",0.745,0.327,"right","right"
"LAMI027",16,"goalie","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.108,0.265,"left","left"
"LAMI027",17,"goalie","up","up","right","LAMI_right_miss.mp4","miss","Cause",0.787,0.654,"right","right"
"LAMI027",18,"goalie","up","up","left","LAMI_right_score.mp4","score","Remember",0.753,0.724,"right","left"
"LAMI027",19,"goalie","up","up","right","LAMI_right_miss.mp4","miss","Remember",0.747,0.239,"right","right"
"LAMI027",20,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.176,0.574,"left","left"
"LAMI027",21,"goalie","up","up","right","LAMI_left_score.mp4","score","What if?",0.204,0.646,"left","right"
"LAMI027",22,"goalie","up","up","left","LAMI_right_score.mp4","score","What if?",0.741,0.642,"right","left"
"LAMI027",23,"goalie","up","up","right","LAMI_left_score.mp4","score","Cause",0.178,0.603,"left","right"
"LAMI027",24,"goalie","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.198,0.681,"left","left"
"LAMI027",25,"goalie","up","down","left","LAMI_right_score_down.mp4","score","Cause",0.792,0.666,"right","left"
"LAMI027",26,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.808,0.228,"right","right"
"LAMI027",27,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.794,0.8,"right","right"
"LAMI027",28,"goalie","up","down","left","LAMI_right_score_down.mp4","score","What if?",0.723,0.83,"right","left"
"LAMI027",29,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.803,0.015,"right","right"
"LAMI027",30,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.827,0.811,"right","right"
"LAMI027",31,"goalie","up","down","right","LAMI_left_score_down.mp4","score","Remember",0.13,0.816,"left","right"
"LAMI027",32,"goalie","up","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.15,0.724,"left","left"
"LAMI027",33,"goalie","up","down","left","LAMI_right_score_down.mp4","score","Cause",0.758,0.761,"right","left"
"LAMI027",34,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","What if?",0.753,0.799,"right","right"
"LAMI027",35,"goalie","up","down","left","LAMI_right_score_down.mp4","score","Remember",0.754,0.853,"right","left"
"LAMI027",36,"goalie","up","down","right","LAMI_left_score_down.mp4","score","What if?",0.165,0.797,"left","right"
"LAMI027",37,"goalie","up","down","left","LAMI_right_score_down.mp4","score","Cause",0.826,0.828,"right","left"
"LAMI027",38,"goalie","up","down","right","LAMI_left_score_down.mp4","score","Remember",0.181,0.824,"left","right"
"LAMI027",39,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.775,0.836,"right","right"
"LAMI027",40,"goalie","up","down","left","LAMI_right_score_down.mp4","score","Remember",0.74,0.14,"right","left"
"LAMI027",41,"goalie","up","down","right","LAMI_left_score_down.mp4","score","What if?",0.154,0.817,"left","right"
"LAMI027",42,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.755,0.069,"right","right"
"LAMI027",43,"goalie","up","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.192,0.835,"left","left"
"LAMI027",44,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","Cause",0.775,0.896,"right","right"
"LAMI027",45,"goalie","up","down","left","LAMI_left_miss_down.mp4","miss","What if?",0.139,0.784,"left","left"
"LAMI027",46,"goalie","up","down","right","LAMI_left_score_down.mp4","score","Cause",0.114,0.821,"left","right"
"LAMI027",47,"goalie","up","down","right","LAMI_right_miss_down.mp4","miss","Remember",0.75,0.072,"right","right"
"LAMI027",48,"goalie","up","down","left","LAMI_right_score_down.mp4","score","What if?",0.739,0.887,"right","left"
"LAMI029",1,"goalie","up","up","left","LAMI_right_score.mp4","score","Cause",0.746,0.964,"right","left"
"LAMI029",2,"goalie","up","up","right","LAMI_right_miss.mp4","miss","Remember",0.742,0,"right","right"
"LAMI029",3,"goalie","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.135,0.955,"left","left"
"LAMI029",4,"goalie","up","up","left","LAMI_left_miss.mp4","miss","What if?",0.172,0.962,"left","left"
"LAMI029",5,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.092,0.953,"left","left"
"LAMI029",6,"goalie","up","up","right","LAMI_left_score.mp4","score","Remember",0.139,0.954,"left","right"
"LAMI029",7,"goalie","up","up","left","LAMI_right_score.mp4","score","What if?",0.735,0,"right","left"
"LAMI029",8,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.136,0,"left","left"
"LAMI029",9,"goalie","up","up","right","LAMI_left_score.mp4","score","Cause",0.19,0.957,"left","right"
"LAMI029",10,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.197,0,"left","left"
"LAMI029",11,"goalie","up","up","left","LAMI_right_score.mp4","score","What if?",0.738,0,"right","left"
"LAMI029",12,"goalie","up","up","left","LAMI_right_score.mp4","score","Remember",0.787,0.956,"right","left"
"LAMI029",13,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.169,0.962,"left","left"
"LAMI029",14,"goalie","up","up","right","LAMI_left_score.mp4","score","Cause",0.23,0.957,"left","right"
"LAMI029",15,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Remember",0.159,0,"left","left"
"LAMI029",16,"goalie","up","up","right","LAMI_left_score.mp4","score","Remember",0.113,0.964,"left","right"
"LAMI029",17,"goalie","up","up","right","LAMI_left_score.mp4","score","Cause",0.208,0.962,"left","right"
"LAMI029",18,"goalie","up","up","left","LAMI_left_miss.mp4","miss","Cause",0.186,0.961,"left","left"
"LAMI029",19,"goalie","up","up","right","LAMI_left_score.mp4","score","What if?",0.194,0,"left","right"
